,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood
0,HWmtjnPwYpk_5AYiadxvlLRXBrVO0jA5HfWRzy0TZ_xgbycikhIcNnnIMA,caffeine22,1196,I,256,191,True,False,False
1,rVf-32q0AorAHCi63cBCd32qkRYK0eAcx_a85V3RLutQrqCz,Wx Soloap,1453,I,161,108,True,False,False
2,IGXP9eVTUsLK6lsMMU_2L2zKlaULWGAAKHT-H063hgY0GlOWuezOH1VdUA,summer games,1151,I,171,126,True,False,False
3,Y1VcD9ZTueFGwyE8zKnJkKC1TpGNgjtlvODKs771PSPtzU3vvBn9-IhF5Q,Pentaless,1189,I,357,311,True,False,False
4,IIsfWVYaBhKdsig6OHNGbAHK4upBeCGp5mvmuucKskUm,ııııııııııııı,906,I,362,326,True,False,False
5,qPcvq1Vk6Kp-WyXNBYgOwlfXOB6Ok6eIz8BDtENGRo9cDSY,Blacc Massu,1032,I,497,455,True,False,False
6,c9oEpxegUrtrsaE6aZzlskulWlm2EDaM9HdpyHhkLm6CPsx87RWD_Hmpyw,Free Top,1086,I,261,218,True,False,False
7,P0OMlKbOo52wcxQlzu5yNmdCjJeghpuMYuLk2msTDsdClzg,feather of truth,1057,I,277,220,True,False,False
8,Ki-bjQVrTgEwf29de1C1VTN_K1KB9I-vdmLeq_lMmncx9iM,latif147,849,I,327,287,False,False,True
9,Jz03lbJ00tCKCkJPeeh7dk0K1W3KHg6Qjc0rbaKosizh8TE,Koggle,888,I,254,216,False,False,False
10,0NV8xsXt7sAkWMxJyUDG8PV4WEBbYZ2qIkgJaDq5WVHn,br34th3,890,I,481,436,False,False,True
11,xfYPKlZ2SnorKjrWvoCQvZsorXGp-Kj-2AtSDHelksRao0-T,Shrimp Cpt,868,I,485,441,False,False,True
12,vlO-R7UL7S7AOW3A3sNp91u5LpPdZB-q5QHhUCApe8mPXKk,Topo,1297,I,380,326,True,False,False
13,iBfpTwaXPORw19_gkGT1hhsvH0QxewXxze1ImwH_hqGbb04,Shockey,847,I,366,328,False,False,True
14,fmC9vo9Km4TG7RoRo62B7quCSc_OQuKCxKHaPKfh-H8Saxr_,Meslo,881,I,284,255,True,False,False
15,tPjldwD_fS9zNqDnLlSVQgTgQ2ncCU2cKdXI7cajDjCrcB4,Waku Waku Week,856,I,248,204,False,False,False
16,RMKzZ0xSsWsDDb__8fJlZmYRrZZUvp2O0-JMBfWwMlS6o5I,Hub1012345,1003,I,704,657,True,False,False
17,0q88i7J3os9cYBy8C5xiTppeU-8HEENKHuuI5s_20diEujg,Int Overflow,857,I,230,194,False,False,True
18,5l73WrslcXv9kpw7IhcfucgesglCJjEv-gduJcvvOSDXytA,da xi gua,991,I,135,104,False,False,False
19,KeJFMTohu_zUNBdoD-1mGnALj2ZVQxlQb4kGtYXS8AtPh89C,why you gank bot,967,I,233,187,False,False,False
20,IPmQnBQ7KQHMdBDtPxsh0VJM_bpd1IUJJQaZiZQdKXV6TJo,Tempos,1271,I,851,798,True,False,False
21,yxcCLkSG0WvwQHjzbHsj-Abg2_rDBSM7ocOJkOpuygrLJas,18-Aug,1011,I,187,138,True,False,False
22,IyqgWXxZll9N_rI8cipdsx4gva7Dn305K0RqcHqCcjgh28eeAY5fgcjIqg,Killer Charms,1123,I,315,237,False,False,False
23,oiRqonTzk3onXKgFz_iXfDKRfIfncFqZhebMVHFKjq53FlA,YoojungHukiriLee,1039,I,413,362,False,False,False
24,uTQEemnEVKW3WaSyviwrlTk8CVgF-9bJaPFZ702xuAbtY28,WindiaN,1109,I,379,292,False,False,False
25,k_VceSUFq1cmJC-kuZWGK90BF0SeDyrAYsMXNPcxmWeLfhh_-x7Kb8p2tw,Poyisama,1079,I,340,292,False,False,False
26,Jg0FErBysgxG3VBRThuKP8mKR4RE0DYuaMA_2FouPCNvjpo,Nhavilay,906,I,378,345,True,False,False
27,z95BGTg76M8WKzGnX8vDQiC82g-FuaC4Mvmwkq_PcI8LQBw,lunacia,1085,I,385,336,True,False,False
28,a6o4lHMpI7h4KFPjeCBH_gaiO2lLS5TpNdbGH6VxnXxrb_s,back to diamond,990,I,185,153,False,False,False
29,ClXNDRQv-O9NccC1OLGZwlScdekhYikMKC2z_KqFkLWujjo,Allorim,1379,I,333,277,True,False,False
30,WkRl_Op-JfttDUv-HtdiESXk7H9dtUI_DINXDFkv57wN1R0,Armored Mawdad,981,I,506,457,True,False,False
31,SKpUxejugI6nKL34jVkyFehR6OUljWma8vGYg7WhB9cxUhXH,Kral Closer,920,I,231,180,False,False,True
32,WKsdgkhYSvPgYjEXInj94XGoxPrlkegm2tvlp7crsulpCUstFrMSMalIVg,JAJA Blade,1405,I,289,191,True,False,False
33,MZgE_8Haim0_hqtPJgS92cQQEbRAsUPL_S-iKdvWu6mG1BJe,Samsâra,843,I,422,384,False,False,False
34,iBUUWl_kXyPZFVSUSsgDIGcnyKdXmidSVp3MbAaC_ETdc_Y,Enthralled,987,I,258,211,False,False,False
35,ipikFUzLi46h5rAzymRufeNE7TUtJg05fyXvUQVS4f04C0g,Kittisaur,869,I,100,64,False,False,True
36,LOSx5EhtfzspF1brCnb5LBE3K-F_43Y_zxvnGfEz1hL276PrpfR0ntwu1g,FR0M Anyang,957,I,128,89,False,False,False
