Date,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
8/27/2022,350,5,51463,1659676933000,29863,0,TRUE,2,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,16,6,50990,1660367557000,29390,0,TRUE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,117,5,50496,1659155354000,28896,0,TRUE,2,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,40,5,38188,1659674779000,16588,0,TRUE,2,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,99,5,31749,1659143552000,10149,0,TRUE,2,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,43,4,12726,1658454971000,126,8874,TRUE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,51,3,9751,1576545995000,3751,2849,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,222,3,8937,1657624003000,2937,3663,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,245,3,8312,1572039909000,2312,4288,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,143,3,7368,1659658348000,1368,5232,TRUE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,81,3,6087,1577774877000,87,6513,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,57,2,4847,1653713554000,3047,1153,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,25,2,4127,1660370597000,2327,1873,TRUE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,17,2,3524,1575511335000,1724,2476,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,89,2,2877,1603842931000,1077,3123,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,18,2,2726,1576635790000,926,3274,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,75,2,2020,1571461610000,220,3980,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,55,2,1982,1594726614000,182,4018,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,22,1,1571,1578904223000,1571,229,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,236,1,1397,1571814478000,1397,403,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,235,1,1146,1653517329000,1146,654,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,161,1,1077,1544610081000,1077,723,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,9,1,971,1659656223000,971,829,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,68,1,883,1569052547000,883,917,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,111,1,850,1659213690000,850,950,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,103,1,847,1659048912000,847,953,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,142,1,817,1572581214000,817,983,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,223,1,777,1567995726000,777,1023,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,145,1,763,1552678013000,763,1037,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,34,1,760,1571998920000,760,1040,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,2,1,689,1572579487000,689,1111,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,48,1,682,1567994028000,682,1118,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,15,1,681,1660368943000,681,1119,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,267,1,588,1571459996000,588,1212,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,56,1,535,1546381650000,535,1265,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,35,1,452,1648003402000,452,1348,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,37,1,374,1660365423000,374,1426,TRUE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
